x,y,bombed,empty,0 0,0 1,0 2,1 0,1 1,1 2,2 0,2 1,2 2,
1,7,0,213402,-4,-4,-4,0,-2,-2,-2,-2,-2,
0,6,0,419160,-4,0,0,-4,-2,-2,-4,-2,-2,
1,6,0,343952,0,0,-2,1,-2,-2,-2,-2,-2,
2,7,0,186838,-4,-4,-4,0,-2,-2,1,-2,-2,
2,6,0,297944,0,1,-2,1,-2,-2,-2,-2,-2,
0,5,1194,4068,-4,1,1,-4,-2,-2,-4,-2,-2,
1,5,206,44,1,1,2,2,-2,-2,-2,-2,-2,
1,7,3852,31320,-4,-4,-4,1,-2,-2,-2,-2,-2,
0,6,758,1216,-4,1,2,-4,-2,-2,-4,-2,-2,
2,7,0,37905,-4,-4,-4,0,-2,-2,2,-2,-2,
2,6,0,79923,0,0,-2,2,-2,-2,-2,-2,-2,
1,5,30,4,1,2,3,1,-2,-2,-2,-2,-2,
1,6,0,377207,0,0,-2,0,-2,-2,-2,-2,-2,
2,7,0,284796,-4,-4,-4,0,-2,-2,0,-2,-2,
1,5,0,149773,0,0,0,1,-2,-2,-2,-2,-2,
3,6,0,19788,0,0,-2,0,-2,-2,2,-2,-2,
1,4,101,2,1,2,2,3,-2,-2,-2,-2,-2,
1,6,41,73,1,1,-2,1,-2,-2,-2,-2,-2,
0,6,0,247150,-4,0,1,-4,-2,-2,-4,-2,-2,
1,6,0,390284,0,1,-2,0,-2,-2,-2,-2,-2,
2,7,478,1245,-4,-4,-4,1,-2,-2,2,-2,-2,
2,7,3421,13329,-4,-4,-4,1,-2,-2,1,-2,-2,
1,5,0,202748,0,0,0,0,-2,-2,-2,-2,-2,
3,6,0,129957,0,0,-2,0,-2,-2,0,-2,-2,
2,4,0,84415,0,0,1,1,-2,-2,-2,-2,-2,
4,6,0,80052,0,0,-2,0,-2,-2,1,-2,-2,
4,5,0,11055,0,1,-2,1,-2,-2,2,-2,-2,
4,4,367,51,1,2,-2,2,-2,-2,-2,-2,-2,
0,6,0,717,-4,0,-2,-4,-2,-2,-4,-2,-2,
0,6,1176,3501,-4,1,-2,-4,-2,-2,-4,-2,-2,
